                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3075,                  3.988,                 2.3969,                0.00281,                0.82687,                0.06125,                0.01765,                  2.245,                 4.0316,                  2.677,              0.0005001,              0.0005001,              0.0005001
                      2,                 1.9234,                 3.3993,                 1.9934,                0.07573,                0.15008,                0.05004,                0.01314,                 2.2414,                 3.9549,                 2.7226,              0.0010135,              0.0010135,              0.0010135
                      3,                 1.9401,                 3.0914,                 1.9337,                 0.5606,                0.12051,                0.06206,                0.01761,                 3.1374,                 8.4534,                 3.7565,              0.0015235,              0.0015235,              0.0015235
                      4,                   1.84,                  2.807,                 1.8318,                0.59836,                0.07928,                0.05475,                0.01778,                 2.4833,                   4.96,                 2.4112,              0.0016505,              0.0016505,              0.0016505
                      5,                 1.8492,                 2.6918,                  1.871,                0.59325,                0.07822,                0.07837,                0.03368,                 2.3139,                 8.3196,                 2.6631,               0.001645,               0.001645,               0.001645
                      6,                 1.7883,                 2.4957,                 1.8283,                0.27068,                0.35296,                0.22802,                0.09564,                 2.1558,                 3.7683,                 2.2819,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.7405,                 2.3242,                 1.7517,                0.38921,                0.45439,                0.34505,                0.16943,                 1.9526,                 3.7146,                 2.0298,               0.001634,               0.001634,               0.001634
                      8,                 1.6989,                 2.1898,                 1.7404,                0.37692,                0.36009,                0.30009,                0.12858,                 1.9936,                 3.1759,                 2.1872,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.6867,                 2.0325,                 1.7206,                0.71904,                0.35255,                0.41027,                0.20067,                 1.8162,                 2.5897,                 1.9599,               0.001623,               0.001623,               0.001623
                     10,                 1.6174,                 1.9827,                 1.6874,                0.49394,                0.43882,                0.40455,                0.16424,                  2.051,                 2.5212,                 2.1057,              0.0016175,              0.0016175,              0.0016175
