                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.84262,                0.51408,                  1.087,                0.99189,                0.98584,                 0.9947,                0.75678,                0.92191,                0.41856,                 1.1327,              0.0014745,              0.0014745,              0.0014745
                     37,                0.81646,                0.51951,                  1.062,                0.99374,                0.98843,                0.99488,                0.78325,                0.86413,                0.40262,                 1.0874,               0.001469,               0.001469,               0.001469
                     38,                0.81041,                0.52539,                 1.0681,                0.98976,                0.99708,                0.99487,                0.76024,                0.93594,                0.40937,                 1.1537,              0.0014635,              0.0014635,              0.0014635
                     39,                0.78981,                0.48911,                 1.0648,                 0.9952,                0.99728,                0.99482,                0.79671,                0.79539,                0.36087,                 1.0687,               0.001458,               0.001458,               0.001458
                     40,                0.82021,                0.52209,                 1.0843,                0.99327,                0.99301,                 0.9942,                0.78111,                  0.834,                0.38526,                 1.1092,              0.0014525,              0.0014525,              0.0014525
                     41,                0.80013,                0.51908,                 1.0846,                0.99325,                0.99326,                 0.9949,                 0.7906,                 0.8703,                0.37682,                 1.1087,               0.001447,               0.001447,               0.001447
                     42,                0.80845,                 0.5104,                 1.0748,                0.98976,                0.98699,                0.99489,                0.78927,                0.86239,                0.38784,                 1.1073,              0.0014415,              0.0014415,              0.0014415
                     43,                0.75365,                 0.4687,                 1.0367,                0.99726,                0.98157,                0.99101,                0.78051,                0.86315,                0.39285,                 1.0965,               0.001436,               0.001436,               0.001436
                     44,                0.77172,                0.47864,                 1.0606,                0.99633,                0.98916,                0.99487,                 0.7821,                0.81908,                0.37988,                 1.0747,              0.0014305,              0.0014305,              0.0014305
                     45,                0.77634,                0.47249,                 1.0581,                0.99298,                0.98583,                0.99457,                0.78586,                0.83232,                0.37645,                 1.0875,               0.001425,               0.001425,               0.001425
