                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.71112,                 0.4064,                 1.0008,                0.96376,                0.98148,                0.99038,                0.81569,                0.75571,                0.34987,                 1.0269,              0.0014745,              0.0014745,              0.0014745
                     37,                0.72006,                0.41685,                 1.0212,                0.97986,                0.97379,                0.99153,                0.80072,                0.74705,                0.34666,                 1.0071,               0.001469,               0.001469,               0.001469
                     38,                0.72801,                0.43218,                  1.018,                0.95834,                0.95515,                0.98505,                0.79244,                0.76927,                0.39735,                 1.0165,              0.0014635,              0.0014635,              0.0014635
                     39,                0.70467,                0.41371,                0.98611,                0.97701,                 0.9803,                0.99095,                0.81109,                0.75192,                0.34753,                 1.0089,               0.001458,               0.001458,               0.001458
                     40,                0.67037,                0.38813,                0.98641,                0.98606,                0.97039,                 0.9907,                0.81865,                0.73672,                0.32288,                0.99821,              0.0014525,              0.0014525,              0.0014525
                     41,                 0.6878,                0.39551,                0.99934,                0.96362,                0.98318,                0.99153,                0.81288,                0.73662,                0.35542,                 1.0044,               0.001447,               0.001447,               0.001447
                     42,                0.68806,                 0.4084,                0.99975,                0.98464,                0.97943,                0.99141,                0.81063,                0.76032,                  0.339,                 1.0311,              0.0014415,              0.0014415,              0.0014415
                     43,                 0.6967,                0.41652,                 1.0115,                0.96461,                0.98053,                0.98846,                0.81666,                0.71711,                0.34574,                0.99596,               0.001436,               0.001436,               0.001436
                     44,                0.67116,                0.39031,                0.99202,                0.96958,                0.98352,                0.99003,                0.81469,                0.73736,                0.33155,                 1.0016,              0.0014305,              0.0014305,              0.0014305
                     45,                0.67151,                0.39513,                 1.0059,                0.98945,                0.97498,                0.98546,                 0.8128,                0.72584,                0.32963,                0.99762,               0.001425,               0.001425,               0.001425
                     46,                0.67146,                0.38341,                 1.0013,                0.97754,                0.98083,                0.99276,                0.82664,                0.72602,                0.32728,                0.99327,              0.0014195,              0.0014195,              0.0014195
                     47,                0.67401,                 0.3862,                0.99957,                0.99335,                0.97587,                0.99247,                0.81111,                  0.744,                0.31559,                 1.0047,              0.0014139,              0.0014139,              0.0014139
                     48,                0.67607,                0.38798,                0.99323,                0.99198,                0.97631,                0.98962,                0.81356,                0.74473,                0.32838,                0.99901,              0.0014084,              0.0014084,              0.0014084
                     49,                0.70046,                0.40001,                 1.0161,                0.98638,                0.97867,                0.98654,                0.81943,                0.72194,                0.33794,                 0.9948,              0.0014029,              0.0014029,              0.0014029
                     50,                0.67852,                0.38972,                0.99315,                 0.9785,                0.98451,                 0.9898,                0.80967,                 0.7385,                0.33137,                 1.0055,              0.0013974,              0.0013974,              0.0013974
                     51,                0.66726,                0.38656,                0.99052,                0.98252,                0.97796,                0.99126,                0.81874,                0.73421,                  0.328,                0.99878,              0.0013919,              0.0013919,              0.0013919
                     52,                0.67259,                0.41607,                0.99319,                0.97852,                0.98061,                0.99075,                0.82981,                0.72925,                0.32595,                0.99144,              0.0013864,              0.0013864,              0.0013864
                     53,                0.63971,                0.37953,                0.97123,                0.98236,                0.97957,                0.99054,                0.82928,                 0.7147,                0.31447,                0.98865,              0.0013809,              0.0013809,              0.0013809
                     54,                0.64496,                0.38246,                0.99569,                0.98624,                 0.9812,                0.98439,                0.80558,                 0.7275,                0.32664,                0.99898,              0.0013754,              0.0013754,              0.0013754
                     55,                 0.6309,                0.37377,                 0.9824,                0.99109,                0.96958,                0.98342,                0.81124,                0.72293,                0.33059,                0.99725,              0.0013699,              0.0013699,              0.0013699
                     56,                0.61492,                 0.3705,                 0.9628,                0.98092,                0.97947,                 0.9882,                0.82263,                0.69936,                0.32557,                0.98529,              0.0013644,              0.0013644,              0.0013644
                     57,                0.64139,                0.39339,                0.98568,                0.97636,                  0.983,                0.99124,                0.81522,                 0.7199,                 0.3228,                 1.0018,              0.0013589,              0.0013589,              0.0013589
                     58,                0.63564,                0.37756,                0.98317,                0.98609,                0.97513,                0.98922,                0.81441,                0.73541,                0.34008,                  1.006,              0.0013534,              0.0013534,              0.0013534
